196.268, 129.165, 6.544, 13.454 False
196.050, 129.175, 6.514, 13.487 False
195.834, 129.185, 6.487, 13.520 False
195.619, 129.194, 6.457, 13.553 False
195.404, 129.203, 6.429, 13.586 False
195.191, 129.213, 6.398, 13.619 False
194.978, 129.222, 6.370, 13.652 False
194.767, 129.231, 6.340, 13.685 False
194.556, 129.240, 6.312, 13.718 False
194.347, 129.249, 6.281, 13.751 False
194.138, 129.258, 6.253, 13.784 False
193.931, 129.267, 6.222, 13.817 False
193.724, 129.275, 6.194, 13.850 False
193.519, 129.284, 6.163, 13.883 False
193.314, 129.292, 6.135, 13.916 False
193.111, 129.301, 6.104, 13.949 False
192.908, 129.309, 6.075, 13.982 False
192.706, 129.317, 6.045, 14.015 False
192.506, 129.325, 6.016, 14.048 False
192.306, 129.333, 5.985, 14.081 False
192.107, 129.341, 5.957, 14.114 False
191.909, 129.349, 5.926, 14.147 False
191.713, 129.355, 5.898, 14.180 False
191.517, 129.363, 5.867, 14.213 False
191.322, 129.369, 5.838, 14.246 False
191.128, 129.376, 5.808, 14.279 False
190.936, 129.383, 5.779, 14.312 False
190.744, 129.390, 5.748, 14.345 False
190.553, 129.397, 5.719, 14.378 False
190.363, 129.403, 5.688, 14.411 False
190.174, 129.410, 5.660, 14.444 False
189.986, 129.416, 5.628, 14.477 False
189.800, 129.422, 5.600, 14.510 False
189.614, 129.427, 5.568, 14.543 False
189.429, 129.433, 5.539, 14.576 False
189.245, 129.438, 5.508, 14.609 False
189.062, 129.443, 5.480, 14.642 False
188.880, 129.448, 5.449, 14.675 False
188.700, 129.453, 5.421, 14.708 False
188.520, 129.458, 5.390, 14.741 False
188.341, 129.463, 5.361, 14.774 False
188.163, 129.468, 5.330, 14.807 False
187.986, 129.473, 5.302, 14.840 False
187.810, 129.478, 5.271, 14.873 False
187.635, 129.482, 5.242, 14.906 False
187.461, 129.487, 5.211, 14.939 False
187.288, 129.492, 5.182, 14.972 False
187.116, 129.496, 5.151, 15.005 False
186.945, 129.500, 5.121, 15.038 False
186.775, 129.505, 5.090, 15.071 False
186.607, 129.509, 5.061, 15.104 False
186.439, 129.513, 5.029, 15.137 False
186.272, 129.516, 4.999, 15.170 False
186.105, 129.519, 4.999, 15.203 False
185.938, 129.523, 4.997, 15.236 False
185.772, 129.527, 4.981, 15.269 False
185.607, 129.530, 4.957, 15.302 False
185.442, 129.534, 4.925, 15.335 False
185.279, 129.537, 4.892, 15.368 False
